model,threshold,f1score,precision_score,accuracy_score,balanced_accuracy_score,recall_score,roc_auc_score,seed,cv,config,method,config_epochs,config_batch,config_pred_weights,config_input_weights
DTL,0.5,0.6909090909090909,0.76,0.875,0.7883647798742138,0.6333333333333333,0.8875960866526904,Seed_113,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5957446808510639,0.495575221238938,0.8137254901960784,0.7877477477477477,0.7466666666666667,0.8364364364364364,Seed_114,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7445255474452556,0.8225806451612904,0.9142156862745098,0.8234834834834834,0.68,0.9407007007007008,Seed_114,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4540540540540541,0.3620689655172414,0.7524509803921569,0.6952032833140952,0.6086956521739131,0.7771365054935659,Seed_114,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6935483870967741,0.7818181818181819,0.9068627450980392,0.793895087854303,0.6231884057971014,0.8950023513317088,Seed_114,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5248868778280544,0.4427480916030534,0.7426470588235294,0.7074423480083858,0.6444444444444445,0.7761705101327744,Seed_114,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7344632768361581,0.7471264367816092,0.8848039215686274,0.8265199161425576,0.7222222222222222,0.902271139063592,Seed_114,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5315315315315315,0.4013605442176871,0.7450980392156863,0.7612012012012012,0.7866666666666666,0.8316716716716717,Seed_115,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7246376811594203,0.7936507936507936,0.9068627450980392,0.8138138138138138,0.6666666666666666,0.9395795795795796,Seed_115,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4532019704433497,0.3432835820895522,0.7279411764705882,0.7035398230088495,0.6666666666666666,0.7630071394980976,Seed_115,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.696969696969697,0.7301587301587301,0.9019607843137256,0.8082595870206489,0.6666666666666666,0.8885896284895901,Seed_115,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5084745762711864,0.410958904109589,0.7156862745098039,0.6981132075471698,0.6666666666666666,0.755398322851153,Seed_115,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7044025157232704,0.8115942028985508,0.8848039215686274,0.7906708595387841,0.6222222222222222,0.894514325646401,Seed_115,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4957264957264956,0.3647798742138364,0.7107843137254902,0.735015015015015,0.7733333333333333,0.8386386386386386,Seed_116,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6875,0.8301886792452831,0.9019607843137256,0.7798198198198198,0.5866666666666667,0.9372972972972972,Seed_116,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4297520661157025,0.3005780346820809,0.6617647058823529,0.6983455175067333,0.7536231884057971,0.7894061818648198,Seed_116,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.748201438848921,0.7428571428571429,0.9142156862745098,0.850262921636527,0.7536231884057971,0.8864093027232696,Seed_116,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5092250922509225,0.3812154696132597,0.6740196078431373,0.7072327044025157,0.7666666666666667,0.7580712788259958,Seed_116,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6742857142857143,0.6941176470588235,0.8602941176470589,0.7868972746331238,0.6555555555555556,0.8909503843466108,Seed_116,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4232081911262798,0.2844036697247706,0.5857843137254902,0.679099099099099,0.8266666666666667,0.8047247247247248,Seed_117,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7310344827586207,0.7571428571428571,0.9044117647058824,0.8278078078078078,0.7066666666666667,0.936056056056056,Seed_117,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.3767123287671232,0.2466367713004484,0.553921568627451,0.6507631140182122,0.7971014492753623,0.7612329528451113,Seed_117,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6901408450704226,0.6712328767123288,0.8921568627450981,0.8196742336796203,0.7101449275362319,0.893762558248899,Seed_117,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4394904458598726,0.3080357142857143,0.5686274509803921,0.6396226415094339,0.7666666666666667,0.6995981830887492,Seed_117,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7,0.7,0.8676470588235294,0.8075471698113208,0.7,0.8919636617749825,Seed_117,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
